work;separation;partner;marriage;children
22;;;23;24
18;19;;30;36
31;16;;21;22
19;;;37;31
21;23;;21;30
18;21;;21;23
31;29;;30;33
20;22;;22;24
22;;;31;34
21;;33;;
20;;;22;23
20;20;;20;21
;20;;20;21
;18;;18;19
18;19;;19;20
19;31;;31;34
20;23;;22;24
21;22;;22;31
19;30;;21;23
19;24;24;26;26
22;;;;
17;20;;23;25
17;;;;
20;23;;23;23
23;23;;23;24
19;23;;24;25
19;;21;22;22
21;20;;19;21
20;20;;21;22
15;27;21;;
18;;;25;25
18;19;;19;20
15;;;22;23
16;;23;23;23
24;16;;19;17
;;;31;32
10;;;23;23
14;;;27;29
20;20;;20;21
;;;16;17
16;21;;23;23
20;25;;25;26
;;;19;19
14;21;;23;24
17;18;18;19;17
21;;;;
16;19;24;33;25
15;20;;21;22
27;18;;23;25
12;18;18;;19
19;17;26;;
20;18;;;
23;;;27;27
18;20;;20;33
16;26;;26;41
17;34;40;;21
21;;;;
17;18;18;18;19
18;22;;29;31
17;18;;18;19
21;22;;;
20;20;;;
18;;21;21;23
20;;;22;
;;;;
20;21;;21;26
20;;;;
21;22;;;
;;;18;18
18;;20;21;22
;;;20;21
;;;;
25;28;27;27;28
;17;;21;25
25;26;23;23;26
;;;21;25
17;20;;20;21
22;19;;24;25
23;;;;
23;23;30;30;32
;;;;
16;;;24;25
21;21;;21;22
17;15;;;
;20;;20;21
21;18;;21;
22;;;32;34
18;30;;23;25
17;18;;25;26
;17;;;
16;19;;25;26
16;;;18;
19;17;;24;25
20;28;;32;37
21;17;23;24;27
18;14;;26;29
21;21;19;19;20
20;27;;23;22
20;50;26;26;27
;;;;24
17;17;;21;31
;19;;19;20
;;;;
22;17;;22;23
22;;;22;24
;22;;20;21
20;20;20;21;
25;27;;27;29
17;17;;22;23
18;20;;22;26
17;17;20;21;22
24;26;19;19;19
;;;;
;21;;22;26
20;20;;23;24
19;20;;27;24
20;20;;20;23
;;;;31
15;19;;26;36
20;;22;22;25
20;18;38;21;22
21;26;18;39;18
15;18;29;;29
13;23;;23;24
;17;;;
;;;;
;17;;;
;15;;;
;16;17;;
;;;31;31
20;24;;24;26
;21;;21;22
;22;22;22;23
;22;;22;24
;24;24;25;25
;22;;22;
20;20;;22;24
18;;;20;24
20;;24;24;26
21;23;;22;23
;20;;22;
22;20;;23;26
;28;;20;22
;25;;23;24
;24;;24;25
19;22;;;
;22;25;27;27
16;23;;23;23
21;17;;24;26
22;25;;25;27
21;36;;24;25
21;;;;
17;18;;18;19
19;;;;
17;25;20;20;29
20;20;21;24;27
17;25;;22;24
14;;;19;21
;;38;39;39
20;24;24;;25
17;17;;21;23
15;15;;25;26
21;28;;25;25
16;18;;25;27
22;17;;;
15;21;;22;
15;32;;24;26
17;17;;18;19
18;22;;23;24
;17;;;
;16;;;
17;18;;20;21
22;20;;20;20
21;19;;19;19
24;17;;21;22
16;25;;25;26
16;18;;18;20
20;17;;22;22
23;;;20;20
21;20;23;24;
16;29;29;29;
17;17;;27;36
17;25;25;27;26
17;18;;18;19
23;18;;24;26
;15;22;23;23
;19;18;19;
21;19;;19;21
26;21;;21;22
;18;;;
20;19;;21;22
21;17;;20;22
;17;;;
;;;;
23;16;27;;
19;16;;24;25
14;;31;32;
17;;;19;20
;;;;
17;17;;20;21
;;;;
20;16;;16;16
16;19;;23;24
22;22;25;;26
21;18;;25;26
24;24;;26;27
17;18;23;19;18
17;;;;
17;15;17;17;18
18;18;;25;26
19;;;20;21
;;;;19
22;17;;;
23;23;;23;24
25;;;25;26
19;20;;;
23;;;18;20
;;;;
;;;20;21
22;17;;24;25
23;20;;31;32
;;;;
19;;;;
19;19;19;20;21
16;;;;
;32;;27;28
17;;;;
19;24;22;23;24
;19;19;20;20
;;;;
;16;;17;18
16;16;21;;
;;;17;
17;17;;23;25
22;18;;19;20
18;18;19;21;21
12;;24;24;26
18;17;;26;28
18;17;;;
16;18;;;
;;;25;26
23;18;;;
19;;;23;24
;;;19;20
20;16;;25;27
18;;;17;19
;;;;
;17;;21;23
16;16;;25;26
;;28;28;28
22;17;26;26;27
;;;;
20;20;;27;29
18;;;19;20
19;;;18;20
16;16;;23;24
;17;;17;21
16;19;;19;20
22;19;;31;32
19;;;;
18;19;;23;24
24;21;;21;24
18;22;;22;23
19;;;;
25;18;22;;25
;;;17;19
;24;;24;26
17;;;19;
24;21;;27;24
;25;;25;26
21;24;24;24;20
22;22;;25;
19;17;;23;24
18;18;;23;23
;19;;23;26
21;21;;22;23
;22;;26;31
41;31;;23;24
42;;21;21;22
31;29;;30;37
;24;;24;24
;;;19;20
17;;;;
24;25;25;;
19;18;;;
;;;;
;24;40;24;35
19;;;;
